sim_id,tourism_final_nzd_bn,gdp_final_nzd_bn,gdp_change_nzd_bn,gdp_pct_change,employment_chg_k,scenario
72,73.38458418054253,389.3941054487852,-15.605894551214817,-3.853307296596251,178.18071021390955,base_case
73,95.11526155843069,446.69639547059137,41.69639547059137,10.295406289034906,322.7410103672428,boom
74,63.45118718687399,363.2004260924241,-41.799573907575905,-10.32088244631504,112.10017227319604,negative_shock
75,82.9325448485184,414.5714159301358,9.5714159301358,2.3633125753421727,241.69718676053014,base_case
76,103.40291082966635,468.550352155006,63.55035215500601,15.691444976544695,377.8734411415573,boom
77,84.19358009181698,417.896678460274,12.896678460274018,3.1843650519195106,250.0860478211001,base_case
78,86.51485782378812,424.01772694419833,19.01772694419833,4.695735047950205,265.52802414966345,base_case
79,83.95478335767888,417.2669880241275,12.2669880241275,3.0288859318833334,248.4974858558037,base_case
80,80.95063556484898,409.345258521656,4.345258521655978,1.0729033386804885,228.5128116974932,base_case
81,93.27477888318954,441.84317022580024,36.843170225800236,9.097079068098823,310.49745608988746,base_case
82,98.48307618382167,455.57708920359954,50.57708920359954,12.488170173728282,345.1449274031055,boom
83,74.78228552936415,393.07974702641695,-11.920252973583047,-2.943272339156308,187.47872347860266,base_case
84,90.45318625696021,434.40282604416404,29.402826044164044,7.2599570479417395,291.72720471368376,base_case
85,82.71689349175222,414.0027582498379,9.002758249837882,2.2229032715649093,240.26259618976795,base_case
86,99.00375440085902,456.95008157203216,51.95008157203216,12.827180635069668,348.60866661515655,boom
87,81.40780968825379,410.5507949968541,5.550794996854108,1.3705666658899032,231.55409878452093,base_case
88,110.54152451219508,487.3743816353815,82.3743816353815,20.339353490217654,425.36207293520334,boom
89,105.92141205655166,475.19146532481926,70.19146532481926,17.331226006128215,394.6274192603222,boom
90,96.57846674271623,450.5547661220583,45.55476612205831,11.248090400508225,332.4747787605586,boom
91,91.7416665722661,437.8004593268787,32.800459326878695,8.098878846142888,300.2986402876071,base_case
92,84.52780580261823,418.77800849338956,13.778008493389564,3.4019774057752006,252.3094377427393,base_case
93,73.25329986172167,389.04791779979627,-15.952082200203733,-3.938785728445366,177.30735959514416,base_case
94,79.25036578639624,404.8617649670855,-0.13823503291450834,-0.03413210689247119,217.20200415842993,base_case
95,94.38251652426565,444.76419760443156,39.76419760443156,9.81832039615594,317.8665262343852,base_case
96,97.23987635719631,452.29885743099805,47.298857430998055,11.678730229876063,336.8747139641814,boom
97,63.7482398158627,363.98373328538673,-41.016266714613266,-10.127473262867474,114.07627345316389,negative_shock
98,87.17679000297208,425.76319622004155,20.76319622004155,5.126715116059642,269.93143564208896,base_case
99,77.6226113827335,400.56948942956063,-4.430510570439367,-1.0939532272689794,206.37359503535157,base_case
100,101.2817324424718,462.9569517737234,57.956951773723404,14.310358462647754,363.7625977932674,boom
101,96.92912956866556,451.4794396885096,46.479439688509615,11.476404861360399,334.80751429798977,boom
102,97.63314165177482,453.3358707543093,48.335870754309326,11.934782902298599,339.49085648176384,boom
103,78.90165156122738,403.9422297258285,-1.057770274171503,-0.26117784547444517,214.8822314158903,base_case
104,101.43048338907516,463.3491977095062,58.3491977095062,14.407209310989186,364.7521427170236,boom
105,85.06159377985215,420.1855703907805,15.185570390780526,3.7495235532791424,255.86038780588336,base_case
106,69.19201246341355,378.3385844314512,-26.66141556854882,-6.583065572481189,150.29021166648496,negative_shock
107,83.22871070926972,415.35238477672124,10.352384776721237,2.5561443893138858,243.66738883848953,base_case
108,92.56958408786555,439.9836204298679,34.983620429867926,8.63793097033776,305.80624607807556,base_case
109,85.21105691208435,420.5796943107027,15.579694310702678,3.8468381014080686,256.8546704451963,base_case
110,86.27625619065715,423.3885509758845,18.388550975884527,4.540382957008525,263.94076006660333,base_case
111,103.94636322116297,469.9833984429358,64.98339844293582,16.045283566156993,381.48868237254334,boom
112,90.33689087468277,434.09616318190837,29.096163181908366,7.184237822693423,290.95356590454196,base_case
113,100.9404762897814,462.05708295264884,57.05708295264884,14.088168630283665,361.4924388376016,boom
114,79.928045110538,406.64875837269676,1.6487583726967614,0.40710083276463244,221.71017133619694,base_case
115,82.12010725985598,412.4290743215156,7.4290743215156,1.834339338645827,236.292559024793,base_case
116,96.18280832830828,449.5114423076317,44.51144230763168,10.990479582131279,329.8427163471152,boom
117,70.82660666198024,382.6488960340494,-22.351103965950585,-5.518791102703848,161.16412157111316,negative_shock
118,80.38247920883411,407.8470695916034,2.847069591603372,0.7029801460749066,224.73323078838143,base_case
119,81.08772282474882,409.7067481240495,4.706748124049511,1.162160030629509,229.4247655723634,base_case
120,81.00382655881819,409.48551948591256,4.485519485912562,1.1075356755339658,228.8666573655287,base_case
121,83.28034483561265,415.4885403889589,10.488540388958882,2.589763059002193,244.0108776618009,base_case
122,93.4981424777487,442.432164542598,37.432164542598,9.242509763604446,311.9833512468261,base_case
123,100.65145411462824,461.2949515098337,56.29495150983371,13.899988027119434,359.56975913164706,boom
124,64.51188442194281,365.99741118093715,-39.00258881906285,-9.630268844213049,119.1563126781603,negative_shock
125,86.0113952583749,422.690131055826,17.690131055825987,4.367933594031108,262.17880965871717,base_case
126,77.93817093814405,401.40159810472267,-3.598401895277334,-0.888494295130206,208.4728109619025,base_case
127,98.69109888741222,456.12563065424,51.12563065424001,12.623612507219756,346.5287694226993,boom
128,67.36709584363206,373.52640579597346,-31.47359420402654,-7.771257828154702,138.15020840184414,negative_shock
129,101.45555785211074,463.4153173305387,58.4153173305387,14.423535143342889,364.9189470848569,boom
130,85.01887459739189,420.0729228676378,15.072922867637828,3.7217093500340317,255.57620440325073,base_case
131,80.47168755166406,408.0823058083265,3.0823058083265096,0.7610631625497555,225.32667684583387,base_case
132,74.51005586511843,392.3618962709214,-12.63810372907858,-3.1205194392786617,185.66775360915693,base_case
133,92.65281345392023,440.203090499257,35.20309049925697,8.692121110927648,306.35991782650797,base_case
134,76.5146235178706,397.6478022281474,-7.352197771852616,-1.81535747453151,199.00286031201472,base_case
135,64.040298240413,364.75387110740985,-40.24612889259015,-9.937315775948186,116.01915138472162,negative_shock
136,77.8306604634993,401.11810043498394,-3.881899565016056,-0.9584937197570509,207.75761252542452,base_case
137,87.84194382581362,427.5171607469073,22.51716074690728,5.559792777014143,274.35627866957554,base_case
138,101.4972508232931,463.5252588056716,58.525258805671626,14.450681186585587,365.1963037601043,boom
139,82.83171790911923,414.30554227958214,9.305542279582141,2.297664760390652,241.02644961002065,base_case
140,86.88506069530354,424.9939262564235,19.993926256423492,4.936771915166294,267.9907471146802,base_case
141,111.21619651817802,489.15344495145496,84.15344495145496,20.778628383075297,429.8502343483945,boom
142,75.90680475805902,396.04502628841266,-8.954973711587343,-2.211104620145023,194.95943079395488,base_case
143,98.11880157039485,454.61652229704725,49.616522297047254,12.250993159764754,342.7216413481202,boom
144,89.22279504639037,431.1583697042943,26.158369704294273,6.458856717109697,283.54219880645957,base_case
145,109.42270461648161,484.42413111941846,79.42413111941846,19.610896572695914,417.9192796375386,boom
146,79.24711778078675,404.8532002014231,-0.1467997985769216,-0.036246863846153485,217.1803972541608,base_case
147,80.57778583102099,408.3620796169751,3.362079616975109,0.8301431153024961,226.03248085013962,base_case
148,80.86741710140184,409.12581720168725,4.125817201687255,1.0187202967129023,227.9592124771367,base_case
149,125.33261620742742,526.3774652172012,121.37746521720123,29.96974449807438,523.7577473026287,boom
150,90.00904412650075,433.23165403107316,28.231654031073163,6.970778773104485,288.7726111419578,base_case
151,79.09098967476834,404.44150120759764,-0.5584987924023608,-0.13790093639564463,216.1417768063988,base_case
152,94.37464588260029,444.7434432678997,39.74344326789969,9.813195868617209,317.81416788854267,base_case
153,60.74847680617204,356.07356615212984,-48.92643384787016,-12.080600950091396,94.12076845307581,negative_shock
154,98.16465293165042,454.73742915857173,49.73742915857173,12.28084670582018,343.0266611332968,boom
155,81.10775363712854,409.7595679878943,4.759567987894286,1.1752019723195768,229.558017757722,base_case
156,72.22017729573831,386.32364520237184,-18.676354797628164,-4.611445629043991,170.43465583001878,negative_shock
157,73.03870179079914,388.4820375612614,-16.517962438738607,-4.078509244132989,175.87977586153931,base_case
158,84.92817716818966,419.83376003336434,14.833760033364342,3.662656798361566,254.9728524064119,base_case
159,70.19008199560757,380.9704246084125,-24.029575391587514,-5.933228491750003,156.92973001369842,negative_shock
160,83.35212723807147,415.67782560877185,10.677825608771855,2.6365001503140384,244.48840008159135,base_case
161,90.8711891013116,435.50507057158666,30.505070571586657,7.532116190515224,294.50791033061364,base_case
162,96.2559354499684,449.70427345877164,44.70427345877164,11.03809221204238,330.3291843238241,boom
163,82.06486541029759,412.28340539322176,7.283405393221756,1.7983717020300634,235.92507032601395,base_case
164,104.99830502042428,472.75729605409214,67.75729605409214,16.73019655656596,388.4865784620499,boom
165,91.53478789961225,437.2549346065219,32.254934606521886,7.964181384326391,298.9224087742446,base_case
